epoch,train_acc,valid_acc
0,0.19506,0.25165
1,0.22841,0.25165
2,0.23669,0.25165
3,0.24056,0.25165
4,0.24557,0.25165
5,0.24805,0.25165
6,0.24762,0.25165
7,0.24875,0.25165
8,0.24918,0.25165
9,0.24988,0.25165
10,0.25106,0.25165
11,0.25062,0.25165
12,0.25184,0.25165
13,0.25210,0.25165
14,0.25415,0.25165
15,0.25445,0.25165
16,0.25567,0.25165
17,0.25785,0.25165
18,0.25780,0.26663
19,0.26329,0.29450
20,0.26795,0.28683
21,0.27196,0.29676
22,0.27209,0.29572
23,0.27357,0.29763
24,0.27461,0.29798
25,0.27439,0.30024
26,0.27509,0.29502
27,0.27587,0.30129
28,0.27849,0.29781
29,0.27666,0.29885
30,0.27857,0.29885
31,0.27988,0.30007
32,0.28040,0.30547
33,0.28092,0.30216
34,0.28210,0.30825
35,0.28319,0.30512
36,0.28166,0.30582
37,0.28332,0.30111
38,0.28271,0.30791
39,0.28393,0.30373
40,0.28284,0.29833
41,0.28397,0.29136
42,0.28162,0.30843
43,0.28393,0.31122
44,0.28524,0.30320
45,0.28680,0.30930
46,0.28789,0.30582
47,0.28619,0.31017
48,0.28541,0.29537
49,0.28802,0.30547
50,0.28894,0.31122
51,0.29024,0.30529
52,0.29020,0.31278
53,0.28985,0.31452
54,0.28759,0.31348
55,0.28872,0.31696
56,0.29168,0.31209
57,0.29081,0.31470
58,0.29142,0.31000
59,0.29220,0.31505
